,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Eliminations - Most in Life,,13,25,22,17,19,14,18,28,15,17,16,7,23,18,26,10,6,7,15,19,7,23,8,15,,36,7,3,22,18,17,11,21,12,23,16,9,2,21,29,21,24,15,,2,14,22,37,21,26,16
All Damage Done - Most in Life,,4511,8785,12020,6696,11032,4030,13029,16408,15134,5707,8156,6812,9710,7453,21239,8694,3398,4734,7078,9648,2999,5213,2632,6183,731,28019,2643,1137,7069,7030,7672,5856,7162,6358,14189,8033,4393,2266,10186,11275,11581,13686,5569,747,1395,3561,8458,10609,11009,10105,7704
Weapon Accuracy - Best in Game,,60,44,80,70,100,,81,96,71,100,46,52,29,76,65,62,53,33,66,57,58,100,44,64,40,100,88,56,,60,69,55,57,,50,80,30,39,70,100,100,100,100,,77,70,86,77,53,100,100
Hero Damage Done - Most in Life,,3637,7970,11720,3521,6176,3354,7260,9624,7977,4919,6694,3490,7868,6952,11991,3714,2457,2661,6498,5728,2999,4662,2230,4562,707,8478,1823,1137,6647,5126,4931,4954,6093,4623,8812,7135,4187,2266,9888,8341,8798,12097,4120,747,814,3159,6592,9829,7306,8261,6172
Obj Contest Time - Most in Game,,77,117,100,5,34,56,79,148,88,27,64,57,20,147,175,34,46,12,80,57,82,132,80,46,2,180,118,9,134,62,44,79,47,34,63,96,18,5,69,133,141,123,30,9,15,2,34,159,105,130,71
Obj Contest Time - Avg per 10 Min,,40,39,25,9,18,46,24,70,47,36,29,15,12,42,53,18,36,12,55,60,16,28,30,42,13,52,28,20,32,49,31,48,30,66,48,59,11,13,26,28,35,30,61,28,41,1,46,95,20,56,18
Melee Final Blows - Avg per 10 Min,,0.13,0.03,0.07,0.06,0.04,,0.08,0.29,0.09,0.1,0.29,,0.28,0.21,0.26,0.04,,1.0,0.63,0.01,0.14,0.15,0.07,0.15,,0.14,0.06,,0.22,0.07,,0.32,0.07,,0.36,0.82,,,0.1,0.27,0.06,0.03,0.15,,4.31,0.02,0.13,0.37,0.03,0.12,0.12
All Damage Done - Avg per 10 Min,,3590,10132,13600,5565,11266,5629,8230,9715,22306,7148,12881,14326,13158,9052,20071,7760,7774,4971,10469,10127,5910,4766,4032,4671,6558,15952,826,5146,7481,10289,9303,12670,8688,5327,8894,14279,10760,8140,11961,7608,10512,11533,7311,6629,10046,5366,6544,10068,8502,8075,7937
Eliminations per Life,,1.26,2.48,2.67,1.66,2.11,2.01,1.81,3.54,4.7,1.36,2.53,1.6,3.54,2.03,3.48,1.56,2.73,1.06,2.6,2.12,1.5,2.33,1.12,1.64,,2.31,0.38,1.27,3.29,2.77,2.01,2.97,2.07,1.4,2.13,3.48,2.45,,2.82,2.62,2.67,3.17,1.65,0.6,1.4,1.42,2.29,2.62,2.91,2.71,2.25
Win Percentage,,47,48,49,52,53,50,49,56,69,37,52,28,60,39,47,44,69,18,34,52,33,51,27,52,,51,44,77,50,60,49,35,51,53,51,60,41,,61,54,59,54,44,,45,46,54,46,58,43,49
All Damage Done,,483103,330904,1872514,946021,537683,216190,2119103,3367267,487820,524833,394924,137911,47078,1630707,1411730,347945,18420,19892,133568,1234268,86018,551039,59953,529577,1112,4400078,117184,5549,1231167,446572,678454,119920,882833,468198,1000988,242437,47886,4509,2198325,6686986,3391670,1184585,792350,3016,4660,277294,558559,1668583,1226631,1011387,1181049
Environmental Kill,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obj Contest Time,,421,1280,1293,6,95,441,471,4088,1037,229,613,143,44,1635,3730,98,86,50,699,181,231,3247,450,147,2,3896,516,22,2215,136,124,452,261,50,159,573,49,7,574,4786,4750,373,479,13,19,3,102,3055,2906,667,456
Environmental Kills - Avg per 10 Min,,0.01,,0.02,,,0.13,,0.07,0.05,0.1,,,,,0.11,,,0.25,,0.05,,,,0.2,,,,,,0.23,0.38,,,0.1,0.12,,,,0.01,0.02,,,,,,,0.37,0.2,0.01,0.02,
Weapon Accuracy,,16,32,44,32,22,,39,29,48,25,27,36,26,27,31,20,44,28,41,19,36,32,28,27,39,46,28,33,,31,42,27,26,,25,55,29,28,36,34,36,27,32,,54,29,42,36,34,38,27
Offensive Assists - Avg per 10 Min,,6.2,,,1.7,,5.78,,,,,,,,,,,2.11,0.75,,1.0,,5.22,0.07,3.78,,3.23,6.02,,,11.61,,2.01,,0.98,2.39,3.36,,,,8.27,,,,,,,,,,1.87,12.8
Defensive Assists - Avg per 10 Min,,6.78,,,16.92,,22.31,,,,,,,,,,,,5.5,,,,14.87,12.37,6.82,,,13.47,17.62,11.65,,,,,,,,,,1.95,,,,,,,,,,,3.67,15.48
Critical Hit Damage,,,50678,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,3671,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Avg per 10 Min,,,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Flames Accuracy,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,1552,,,,,,,,,,,,,,,,,,,,,,,1447,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,31,37,29,71,,23,924,14,70,77,28,,55,,11,12,111,101,,142,35,139,39,12,24,18,4,,50,,150,219,,284,,120,11,58,153,,49,154,7,,16,,129,,,27
Critical Hits - Most in Life,,,30,23,13,57,,13,586,6,27,38,11,,19,,5,6,51,59,,60,19,48,19,12,15,18,2,,24,,58,116,,179,,46,10,35,103,,41,80,,,8,,106,,,15
Melee Final Blow - Most in Game,,,1,1,1,1,,,,1,1,,,1,,,1,,,,1,1,1,1,,,,,,,,,1,,,,,,,1,,,1,1,,1,1,,,1,,
Critical Hit Kills - Most in Game,,,3,7,,2,,8,6,5,,3,,,4,,2,2,,3,,,8,2,2,,,2,,,,,3,2,,2,,3,,3,8,,3,2,,,5,,3,,,5
Critical Hit Kills - Avg per 10 Min,,,0.28,3.23,,0.76,,2.55,1.48,1.42,0.16,1.0,0.42,,1.6,0.82,1.3,1.27,0.25,0.78,,,2.36,0.74,0.58,,,0.97,,,0.72,,0.63,0.81,,2.11,,1.35,,0.92,1.84,,1.13,1.28,,,6.96,,0.9,,,2.1
Critical Hits - Avg per 10 Min,,,9.8,12.72,9.28,28.5,,6.14,211,7.64,7.95,45.21,21.92,,17.34,62.29,3.7,13.51,106,20.22,,36.0,14.58,73.37,14.61,136,5.41,4.66,7.42,,2.42,,110,102,,109,,108,19.86,23.44,35.64,,10.1,86.21,17.59,,8.94,,18.61,,,10.91
Knockback Kills,,,189,293,,,102,,955,168,82,,,,,,,5,3,,39,,,,174,,,,,,,9,,,3,75,,,,,,,,,,,,10,895,,,
Knockback Kills - Most in Game,,,20,8,,,8,,20,16,7,,,,,,,4,3,,5,,,,6,,,,,,,,,,,2,,,,,,,,,,,,,29,,,
Knockback Kills - Avg per 10 Min,,,5.79,2.13,,,2.66,,4.99,7.68,1.12,,,,,,,2.11,0.75,,0.63,,,,3.35,,,,,,,0.59,,,0.1,1.38,,,,,,,,,,,,0.36,5.4,,,
Melee Final Blow,,,1,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Critical Hits,,,320,1751,1577,1360,,1582,73106,167,584,1386,211,,3123,4381,166,32,423,258,,524,1686,1091,1656,23,1491,661,8,,105,,1040,10329,,12296,,482,11,4307,31328,,1037,9344,,,462,,3084,,,1624
Critical Hit Kills,,,9,167,,4,,51,86,31,,21,4,,62,58,7,3,,10,,,273,11,2,,,18,,,2,,6,7,,7,,6,,20,313,,14,10,,,16,,29,,,54
Critical Hit Accuracy,,,8,10,7,5,,6,8,11,2,12,9,,9,8,5,13,9,3,,3,17,12,8,17,4,12,10,,0,,14,9,,15,,10,3,5,5,,6,8,,,12,,3,,,10
Scoped Critical Hits,,,,1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,
Scoped Critical Hits - Most in Game,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Dynamite Kills,,,,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,
Long Range Final Blows,,,,153,,,,14,,,,12,,,,,3,,,,,,,,,,,,,,,6,,,,,,,,27,,,,,,,13,,,,,
Long Range Final Blows - Most in Game,,,,7,,,,2,,,,2,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,,,,,
Long Range Final Blows - Avg per 10 Min,,,,2.96,,,,0.7,,,,0.57,,,,,0.56,,,,,,,,,,,,,,,1.48,,,,,,,,1.24,,,,,,,5.66,,,,,
Scoped Critical Hit Accuracy,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
Dynamite Kills - Avg per 10 Min,,,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Avg per 10 Min,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94,,,,,
Coach Gun Kills - Avg per 10 Min,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Kill - Most in Game,,,,1,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,,1,,,,,1,,,,,,,,1,1,,
Amplification Matrix Assists,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy - Best in Game,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Best in Game,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented,,,,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Most in Game,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Accuracy,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immortality Field Deaths Prevented - Avg per 10 Min,,,,,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification Matrix Assists - Avg per 10 Min,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Most in Game,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Most in Game,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Kills - Most in Game,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Most in Game,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Avg per 10 Min,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Avg per 10 Min,,,,,,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Avg per 10 Min,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills - Avg per 10 Min,,,,,,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist - Most in Game,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,,,
Overhealth Provided,,,,,,,102659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Most in Game,,,,,,,5592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshots Attempted,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back,,,,,,,333,,,,,,,,,,,,,,,,,,1298,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspire Uptime Percentage,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whipshot Accuracy,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Provided - Avg per 10 Min,,,,,,,2673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Avg per 10 Min NYI,,,,,,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Most in Game NYI,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills,,,,,,,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,,,,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Most in Game,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Avg per 10 Min,,,,,,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Avg per 10 Min,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Avg per 10 Min,,,,,,,,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills,,,,,,,,,747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Most in Game,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Negated - Most in Game,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills,,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Most in Game,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills - Most in Game,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Avg per 10 Min,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimates Negated - Avg per 10 Min,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Avg per 10 Min,,,,,,,,,11.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills - Avg per 10 Min,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panopticon Hits,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panopticon Hits - Avg per 10 Min,,,,,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,,,,117603,,,,,,,,,,,,,,,104,,,,,,,,,,,10572,,,,,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,,,,3258,,,,,,,,,,,,,,,75,,,,,,,,,,,1097,,,,,,,,,,,,,,,
Rocket Punch Kills,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Most in Game,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,,,,,1602,,,,,,,,,,,,,,,613,,,,,,,,,,,1083,,,,,,,,,,,,,,,
Seismic Slam Kills - Avg per 10 Min,,,,,,,,,,,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Avg per 10 Min,,,,,,,,,,,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kill - Most in Game,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kill,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Most in Game,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills,,,,,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Most in Game,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Most in Game,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Most in Game,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Accuracy,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hit Accuracy,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Avg per 10 Min,,,,,,,,,,,,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Avg per 10 Min,,,,,,,,,,,,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
