,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,kiriko,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Call Mech Kills - Avg per 10 Min,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,,,164022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,,,3424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Most in Game,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Avg per 10 Min,,,,,,,,,14.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Avg per 10 Min,,,,,,,,,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Most in Game,,,,,,,,,2,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Kills - Avg per 10 Min,,,,,,,,,1.62,,4.69,,,,2.83,,,,,,,,,,,,0.78,,,,,0.94,,,,,
Critical Hit Kills,,,,,,,,,5,,6,,,,2,,,,,,,,,,,,2,,,,,,,,,,
Focusing Beam Kills,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Most in Game,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Most in Game,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kill,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kill - Most in Game,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Most in Game,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Accuracy,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hit Accuracy,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Focusing Beam Kills - Avg per 10 Min,,,,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplicate Kills - Avg per 10 Min,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Kills - Avg per 10 Min,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sticky Bombs Direct Hits - Avg per 10 Min,,,,,,,,,,40.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kill - Most in Game,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Objective Kill,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills,,,,,,,,,,,587,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Most in Game,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected,,,,,,,,,,,227113,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Most in Game,,,,,,,,,,,12127,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Most in Game,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Avg per 10 Min,,,,,,,,,,,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Reflected - Avg per 10 Min,,,,,,,,,,,1371,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Avg per 10 Min NYI,,,,,,,,,,,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Kill,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,
Dragonstrike Kills,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Most in Game,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills,,,,,,,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Most in Game,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Avg per 10 Min,,,,,,,,,,,,6.31,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonstrike Kills - Avg per 10 Min,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Avg per 10 Min,,,,,,,,,,,,3.22,,,,,,,,,,,,,,,,,,,,,3.45,,,,
Jagged Blade Accuracy - Best in Game,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
Jagged Blade Accuracy,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
Wound Uptime Percentage,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,
Death,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Enemy Trapped - Most in Game,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Enemy Trapped,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Most in Game,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Concussion Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,3.78,,,,,,,,,,,,,,,,,,,,,,,
Direct Hit Accuracy,,,,,,,,,,,,,,11,,,,,,,17,,,,,,,,,,,,,,,,
Enemies Trapped - Avg per 10 Min,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,
Negative Effects Cleansed - Most in Game,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists - Most in Game,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Kunai Kills,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
Kunai Kills - Most in Game,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
Negative Effects Cleansed - Avg per 10 Min,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,,,,,,,,,
Kunai Kills - Avg per 10 Min,,,,,,,,,,,,,,,19.83,,,,,,,,,,,,,,,,,,,,,,
Kitsune Rush Assists - Avg per 10 Min,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,
Offensive Assist,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Offensive Assist - Most in Game,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided,,,,,,,,,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided - Most in Game,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back,,,,,,,,,,,,,,,,2084,,,,,,,,,,,,,,,,,,,,,
Players Knocked Back - Avg per 10 Min,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,
Sound Barriers Provided - Avg per 10 Min,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,
Enemies Frozen,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,
Enemies Frozen - Most in Game,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
Blizzard Kills - Most in Game,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
Blizzard Kills,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Icicle Accuracy,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,
Blizzard Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,
Icicle Critical Accuracy,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,
Enemies Frozen - Avg per 10 Min,,,,,,,,,,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,
Assist - Most in Game,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Assist,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Blaster Kills,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
Blaster Kills - Most in Game,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Players Resurrected,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,
Players Resurrected - Most in Game,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Valkyrie Healing Done,,,,,,,,,,,,,,,,,,4743,,,,,,,,,,,,,,,,,,,
Players Resurrected - Avg per 10 Min,,,,,,,,,,,,,,,,,,4.15,,,,,,,,,,,,,,,,,,,
Blaster Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,3.04,,,,,,,,,,,,,,,,,,,
Coalescence Kills,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,
Coalescence Kills - Most in Game,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,
Coalescence Healing,,,,,,,,,,,,,,,,,,,13744,,,,,,,,,,,,,,,,,,
Coalescence Healing - Most in Game,,,,,,,,,,,,,,,,,,,2142,,,,,,,,,,,,,,,,,,
Biotic Orb Kills,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
Biotic Orb Kills - Most in Game,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,
Secondary Fire Accuracy,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,23,,,,,,,
Ally Coalescence Efficiency,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,
Coalescence Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,5.01,,,,,,,,,,,,,,,,,,
Biotic Orb Kills  - Avg per 10 Min,,,,,,,,,,,,,,,,,,,12.67,,,,,,,,,,,,,,,,,,
Enemy Coalescence Efficiency,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,
Coalescence Healing - Avg per 10 Min,,,,,,,,,,,,,,,,,,,1351,,,,,,,,,,,,,,,,,,
Game Won,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
Hero Win,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Melee Final Blow,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
Energy Javelin Accuracy,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
Rocket Direct Hits,,,,,,,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,
Barrage Kills,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,
Rocket Direct Hits - Most in Game,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,
Barrage Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Barrage Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,3.66,,,,,,,,,,,,,,,,
Rocket Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,39.97,,,,,,,,,,,,,,,,
Death Blossom Kills,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Death Blossom Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Death Blossom Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,
Charge Kills,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,
Charge Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Fire Strike Kills,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,
Fire Strike Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,
Earthshatter Kills,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,
Earthshatter Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
Earthshatter Stuns,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,
Charge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,,,,
Earthshatter Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,
Fire Strike Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,,,,,,,,,,,
Earthshatter Stuns - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,4.65,,,,,,,,,,,,,,
Whole Hog Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Whole Hog Kills,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,
Chain Hook Accuracy - Best in Game,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,
Chain Hook Kills,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Chain Hook Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,20.69,,,,,,,,,,,,,
Whole Hog Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,2.79,,,,,,,,,,,,,
Chain Hook Accuracy,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,
Accretion Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
Accretion Kills,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,
Gravitic Flux Kills,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,
Gravitic Flux Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Gravitic Flux Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,
Accretion Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,3.48,,,,,,,,,,,,
Tracking Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Tracking Kills,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Tracking Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,4.84,,,,,,,,,,,
Tracking Shot Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,
Charged Shot Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,
Charged Shot Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
Charged Shot Accuracy - Best in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,
Overclock Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Overclock Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,
Disruptor Shot Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
Disruptor Shot Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,
Long Range Final Blows,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Long Range Final Blow - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Charged Shot Critical Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,
Long Range Final Blows - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,,,,,,,,,,
Overclock Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,
Disruptor Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68,,,,,,,,,,
Charged Shot Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,
Charged Shot Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,,,,,,,,,
Critical Hit Kill - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
Game Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Helix Rocket Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
Helix Rocket Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,
Tactical Visor Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,
Tactical Visor Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
Helix Rocket Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,,,,,,,,,
Tactical Visor Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,,,,
Enemies Hacked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,
Enemies Hacked - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,
Low Health Teleports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Low Health Teleports - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Low Health Teleports - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,
Enemies Hacked - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.82,,,,,,,,
Sentry Turret Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
Sentry Turret Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
Players Teleported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,
Players Teleported - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Secondary Direct Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,
Sentry Turret Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,,,,,,,
Primary Fire Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,65,,41,
Players Teleported - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.41,,,,,,,
Secondary Direct Hits - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.49,,,,,,,
Turret Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Turret Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Turret Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.35,,,,,,
Pulse Bomb Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,,
Pulse Bomb Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Pulse Bombs Attached - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
Pulse Bombs Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,
Low Health Recalls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
Low Health Recalls - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,
Pulse Bomb Attach Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,
Pulse Bomb Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,
Low Health Recalls - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.44,,,,,
Pulse Bombs Attached - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,
Critical Hit Kill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Venom Mine Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
Venom Mine Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
Venom Mine Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,
Jump Pack Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,
Jump Pack Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
Primal Rage Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
Primal Rage Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Melee Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,
Jump Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,
Weapon Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,
Jump Pack Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63,,,
Primal Rage Kills  - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,
Adaptive Shielding Created,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000,,
Piledriver Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,
Grappling Claw Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,
Minefield Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
Grappling Claw Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
Minefield Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Piledriver Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
Piledriver Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.58,,
Adaptive Shielding Created - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,
Minefield Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,,
Grappling Claw Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,,
Graviton Surge Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,
Graviton Surge Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,
High Energy Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,
High Energy Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,
Average Energy - Best in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,
Graviton Surge Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,
Average Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
High Energy Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05,
Transcendence Healing - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162
Transcendence Healing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67661
Charged Volley Kills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Charged Volley Kills - Most in Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Charged Volley Kills - Avg per 10 Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.87
Charged Volley Accuracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
Transcendence Efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559
