,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hazard,hanzo,illari,junker-queen,junkrat,kiriko,lifeweaver,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Damage,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Support,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4,diamond 4
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Game,39,9,16,2,18,12,14,19,33,15,39,,20,26,26,9,20,,21,,11,10,14,15,6,19,31,24,13,31,24,15,29,10,14,3,23,32,28,13,32,14
Final Blows - Most in Game,31,4,7,,11,6,9,10,22,10,31,,15,16,15,7,12,,8,,7,5,3,11,5,10,21,12,3,23,14,6,13,5,6,,19,17,19,7,15,11
All Damage Done - Most in Game,19874,2581,6034,1923,19214,4912,8832,13571,13212,5864,14315,1054,9858,6968,8524,5522,5306,300,7445,5102,1813,3208,7966,5465,5045,10255,13196,12461,6649,9959,7361,7455,14549,2326,7110,3803,8318,9594,15869,9197,19874,7685
Healing Done - Most in Game,13006,5694,,2789,1428,4837,,758,304,344,233,,,4592,2150,,4723,801,9866,112,13006,5343,,,275,1131,,832,,,1038,1349,,,,,,1371,1474,7129,,3206
Defensive Assists - Most in Game,27,9,,,,,,,,,,,,,,,15,,16,,27,5,,,,,,,,,3,,,,,,,,,,16,11
Offensive Assists - Most in Game,22,10,,,,,,,,,,,,2,,2,5,,16,,22,,10,,,,4,8,,,,10,,,,,,,,,7,11
Objective Kills - Most in Game,18,6,6,2,6,4,6,7,17,6,9,,11,6,8,4,7,,9,,3,8,2,4,,7,12,16,5,11,8,5,7,8,6,,9,16,18,6,14,6
Objective Time - Most in Game,277,164,100,8,13,40,44,100,141,60,107,2,61,21,58,19,87,,107,0,215,104,18,22,82,92,277,120,49,118,122,62,40,133,49,3,97,134,168,110,90,62
Multikill - Best,4,,,,,,,4,4,3,4,,,3,3,,,,,,,3,,,,,3,3,,,3,,3,3,3,,3,3,3,,4,
Solo Kills - Most in Game,31,2,2,,2,3,3,3,10,4,14,,6,4,5,2,2,,3,,2,,,2,,2,3,7,,3,3,2,2,,2,,8,4,7,2,2,4
Time Spent on Fire - Most in Game,78,,,,15,,32,47,46,4,60,,19,54,53,,,,,,,,,,19,30,44,18,,40,4,,,,15,,51,78,45,42,,
Melee Final Blows - Most in Game,7,2,,,,,,2,2,2,,,,,7,,,,2,,,,,,,,,3,,,2,,,,,,,2,3,2,2,2
Environmental Kills - Most in Game,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill Streak - Best,21,9,7,2,7,11,11,19,15,8,21,1,6,14,8,4,13,,11,,9,6,12,10,3,11,13,14,6,9,20,11,16,10,9,3,12,21,20,7,19,7
Hero Damage Done - Most in Game,14730,2174,4732,1009,7825,4002,8464,7744,11100,4746,12107,404,8210,6267,8409,4638,5266,258,4401,37,1663,2719,6586,4441,3456,6171,12080,8463,5295,8412,6672,5563,10428,2326,5158,3119,7147,8892,12513,7208,11657,6611
Barrier Damage Done - Most in Game,10335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assists - Most in Game,14,10,,,,,,5,8,,,,2,5,8,,14,,2,,,,,,,,,4,,3,,5,,,,,5,3,5,3,2,
Objective Contest Time - Most in Game,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists - Most in Game,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,
Hero Damage Done - Avg per 10 Min,7064,2479,6960,2962,9164,4645,8157,7997,8509,8118,8119,5507,6553,9393,10075,9411,5705,2054,4582,456,602,4714,8943,8733,9814,8680,9135,7681,9130,7869,9215,4473,11604,5707,7816,5356,6100,8074,8338,9019,8613,6366
Eliminations - Avg per 10 Min,18.76,9.8,15.42,5.87,21.5,13.39,16.27,21.51,21.22,21.54,23.29,13.64,13.95,38.97,30.07,17.53,16.99,,16.75,,3.66,18.47,18.81,20.54,17.04,21.91,22.67,19.65,22.82,22.06,28.47,14.0,32.28,17.79,18.72,4.42,15.12,26.05,20.46,16.27,21.81,14.31
Deaths - Avg per 10 Min,7.27,6.54,8.9,11.74,8.15,8.27,8.9,6.55,8.6,7.44,6.59,13.64,9.02,3.0,5.9,9.91,7.06,15.92,6.74,12.28,5.98,9.72,4.7,8.98,11.36,8.07,8.27,6.05,7.21,8.45,7.12,5.07,5.23,,6.93,11.78,7.74,6.54,5.87,7.51,6.21,8.92
Assists - Avg per 10 min,3.81,17.16,,,3.75,,0.73,9.31,4.16,,,,1.52,7.49,7.66,3.3,9.41,,2.67,,,,10.96,,,,1.86,5.15,,2.19,1.59,7.29,,,,1.47,3.03,3.59,5.75,3.75,4.44,
Healing Done - Avg per 10 Min,1536,5753,,8188,1268,7674,,83.42,21.46,243,16.77,,,6883,2214,,5955,6376,6117,1379,7697,9294,,,781,1648,,4590,,,1560,917,,,,,,136,109,8920,,3788
Final Blows - Avg per 10 Min,9.74,2.12,7.12,2.94,12.6,5.12,9.21,9.72,13.14,10.18,13.31,,9.36,23.98,17.69,11.43,7.84,,4.43,,1.59,7.78,3.53,14.76,14.2,11.53,14.13,9.78,4.8,12.36,17.29,5.07,14.83,10.37,6.59,,9.99,12.18,9.16,8.76,6.38,7.26
Time Spent on Fire - Avg per 10 Min,18,8,16,,11,,43,9,26,54,18,,18,210,166,,12,,1,,,,16,,121,25,36,3,,31,48,1,,,13,,15,26,23,156,,
Objective Contest Time - Avg per 10 Min,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,2.41,0.98,2.37,,2.22,1.18,2.46,2.18,3.85,2.35,2.95,,2.38,6.0,4.72,2.29,0.78,,1.26,,0.24,,,1.93,,1.15,1.6,3.26,,2.19,2.54,1.01,1.74,,2.08,,3.99,1.78,1.79,2.5,0.71,1.66
Objective Kills - Avg per 10 Min,5.75,3.27,5.93,5.87,6.67,3.15,5.22,4.58,6.33,7.44,4.77,,6.63,8.99,8.84,4.57,4.71,,5.58,,1.22,14.58,4.7,3.21,2.84,6.15,6.67,7.73,10.81,7.2,9.15,4.26,6.11,14.82,5.2,,3.24,8.52,9.23,7.51,7.8,3.94
Objective Time - Avg per 10 Min,61,85,89,22,18,31,32,56,60,42,58,21,44,31,57,30,43,,67,3,75,141,28,20,232,76,105,88,111,47,91,49,36,384,47,5,16,102,93,138,55,47
Time Played,122635,3672,1012,204,809,1523,1955,5496,17443,1532,9559,44,3527,400,1018,787,2295,75,5694,49,4915,617,510,935,211,1561,2250,6442,500,3835,1180,2957,688,405,1731,408,15194,6058,8387,480,3383,2893
Games Played,269,10,2,0,2,4,4,14,35,3,21,0,7,1,2,3,6,0,15,0,13,1,1,3,0,3,5,13,1,7,2,6,2,1,4,1,36,13,17,1,6,7
Games Won,164,7,1,0,0,2,3,8,20,2,14,,3,1,2,1,3,,10,0,6,0,1,1,0,2,3,8,,3,2,5,2,1,2,0,23,11,10,,2,4
Games Lost,105,3,1,0,1,2,2,6,16,1,6,0,4,0,0,1,2,0,5,0,7,1,0,2,0,1,2,5,1,3,0,1,0,0,2,,13,2,7,1,4,3
Hero Wins,36,1,,,0,,1,0,7,1,3,,1,1,2,0,3,,0,,,,0,,0,0,0,1,,3,1,1,,,1,0,4,1,2,,,0
Environmental Kills,32,,,,,2,,,6,,,,,,,,,,5,,,,,,,,,13,,,,,,,,,,3,2,,,
Objective Time,12438,522,151,8,25,79,103,511,1742,106,921,2,256,21,96,39,166,,632,0,615,145,24,32,82,199,392,945,93,301,179,241,42,259,135,3,401,1030,1295,110,309,228
Eliminations,3835,60,26,2,29,34,53,197,617,55,371,,82,26,51,23,65,,159,,30,19,16,32,6,57,85,211,19,141,56,69,37,12,54,3,383,263,286,13,123,69
Hero Damage Done,1443773,15176,11737,1009,12363,11792,26575,73255,247374,20727,129348,404,38526,6267,17088,12348,21825,258,43481,37,4931,4849,7607,13608,3456,22580,34259,82473,7602,50303,18123,22043,13300,3850,22552,3638,154479,81516,116550,7208,48568,30690
Final Blows,1990,13,12,,17,13,30,89,382,26,212,,55,16,30,15,30,,42,,13,8,3,23,5,30,53,105,4,79,34,25,17,7,19,,253,123,128,7,36,35
Deaths,1486,40,15,4,11,21,29,60,250,19,105,,53,2,10,13,27,2,64,,49,10,4,14,4,21,31,65,6,54,14,25,6,,20,8,196,66,82,6,35,43
Damage Done,1443773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1175,20,10,2,9,8,17,42,184,19,76,,39,6,15,6,18,,53,,10,15,4,5,,16,25,83,9,46,18,21,7,10,15,,82,86,129,6,44,19
Time Spent on Fire,3779,47,27,,15,,140,80,766,137,281,,104,140,282,,48,,5,,,,13,,43,65,137,37,,195,94,6,,,38,,372,259,323,125,,
Melee Final Blows,133,3,,,,,,10,23,3,12,,,,8,,,,5,,,,,,,,,21,,2,2,,,,2,,3,11,14,2,3,3
Objective Contest Time,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,492,6,4,,3,3,8,20,112,6,47,,14,4,8,3,3,,12,,2,,,3,,3,6,35,,14,5,5,2,,6,,101,18,25,2,4,8
Multikills,37,,,,,,,7,4,,6,,,2,2,,,,,,,,,,,,,,,,,,,,,,2,3,2,,,
of Match on Fire,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,107,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,
Defensive Assists,511,56,,,,63,,,,,,,,,,,42,,93,,139,10,,,,,,,,,6,,,,,,,,,,54,48
Offensive Assists,521,61,,,,11,,,,,,,,2,,4,14,,106,,120,,11,,,,13,50,7,,,40,,,,,,,,,17,65
Healing Done,313889,35213,,2789,1711,19479,,764,624,621,267,,,4592,3755,,22781,801,58050,112,63061,9559,,,275,4288,,832,,,3068,4520,,,,,,1371,1519,7129,,18262
Assists,206,10,,,,,,8,44,,,,3,5,13,,36,,2,,,,,,,,,4,,14,2,10,,,,,23,6,13,3,4,
Cards,61,,,,,3,,5,5,,4,,,,,,,,4,,5,,,,,,4,3,,,,3,2,,,,2,5,3,,3,5
Scoped Accuracy - Best in Game,,100,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
Self Healing,,2550,,560,1711,4139,,,,,,,,441,3600,,,46,19116,112,12944,2087,,,,4288,,49278,,,1733,,,,2833,,,,,,,698
Self Healing - Most in Game,,470,,560,1428,,,,,,,,,441,1995,,,46,2375,112,2643,1575,,,,1131,,6145,,,668,,,,606,,,,,,,263
Enemies Slept,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,152,,,,,,,,,,,,,,,,,,,13173,,1598,,,,,,,,,,,,,,,,,,,177
Damage Amplified - Most in Game,,152,,,,,,,,,,,,,,,,,,,2275,,1542,,,,,,,,,,,,,,,,,,,177
Healing Amplified,,2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,
Healing Amplified - Most in Game,,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,
Healing Amplified - Avg per 10 Min,,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,,
Scoped Accuracy,,56,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,
Self Healing - Avg per 10 Min,,417,,1643,1268,1631,,,,,,,,661,2122,,,362,2014,1379,1580,2029,,,,1648,,4590,,,881,,,,982,,,,,,,145
Damage Amplified - Avg per 10 Min,,24.86,,,,,,,,,,,,,,,,,,,1608,,1878,,,,,,,,,,,,,,,,,,,36.76
Biotic Grenade Kills - Avg per 10 Min,,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,9,7,2,7,11,11,19,15,8,21,,6,14,8,4,13,,11,,9,6,12,10,3,11,13,14,6,9,20,11,16,10,9,3,12,21,20,7,19,7
All Damage Done - Most in Life,,2581,1865,1224,7159,4580,4850,7533,6040,3726,7610,1054,3205,3700,3007,3242,3297,216,4208,4383,1429,1360,7279,5258,1815,6270,4013,6613,2546,3728,5321,3743,5527,2326,5443,1361,6194,6621,10322,3609,5039,3482
Weapon Accuracy - Best in Game,,70,53,39,41,,57,39,41,35,57,10,56,68,53,50,53,34,100,,39,,47,67,48,50,,40,,40,38,47,44,28,47,48,73,100,47,51,63,38
Hero Damage Done - Most in Life,,2174,1780,718,3224,3669,3995,3948,5820,3320,7581,404,2346,3344,2738,1812,2617,186,2527,37,1279,1086,5899,2998,1221,3121,3279,4548,2092,2861,4804,3644,3718,2326,4034,1111,4124,5883,8700,3409,3935,2746
Obj Contest Time - Most in Game,,21,0,,5,,5,19,84,14,19,2,46,15,58,2,30,,15,,,4,18,,25,17,18,31,,27,43,15,,,10,,11,86,63,21,33,5
Obj Contest Time - Avg per 10 Min,,45,1,,17,,6,41,52,26,30,21,32,22,52,6,26,,39,,,35,193,,70,36,42,57,,21,48,28,,,19,,4,70,73,26,50,46
Melee Final Blows - Avg per 10 Min,,0.49,,,,,,1.09,0.79,1.18,0.75,,0.17,,4.72,,0.26,,0.53,,0.12,,1.18,,2.84,0.38,,1.96,,0.31,1.02,,,,0.69,,0.12,1.09,1.0,2.5,0.53,0.62
All Damage Done - Avg per 10 Min,,3069,8994,5646,20743,5871,9981,11840,9626,11750,10291,14373,8523,10445,10428,12958,6069,2388,5379,62646,687,5750,10565,11423,14328,11447,10578,10163,11794,9135,10998,5454,16271,5707,9244,6363,6773,9136,10412,11507,13176,7738
Eliminations per Life,,1.5,1.73,0.5,2.64,1.62,1.83,3.28,2.47,2.89,3.53,,1.55,13,5.1,1.77,2.41,,2.48,,0.61,1.9,4,2.29,1.5,2.71,2.74,3.25,3.17,2.61,4,2.76,6.17,,2.7,0.38,1.95,3.98,3.49,2.17,3.51,1.6
Win Percentage,,68,57,6,23,61,65,56,55,55,70,,44,100,86,55,59,,70,91,47,28,100,44,100,69,55,62,,49,86,83,99,100,45,11,64,85,61,,31,61
All Damage Done,,18784,15166,1923,27984,14901,32518,108459,279828,29999,163948,1054,50106,6968,17687,17003,23216,300,51045,5102,5632,5914,8987,17800,5045,29778,39670,109112,9821,58397,21630,26879,18649,3850,26672,4322,171511,92240,145544,9197,74294,37307
Obj Contest Time,,26,0,,5,,8,35,552,32,92,2,63,15,89,2,98,,29,,,4,18,,25,26,23,45,,136,61,38,,,11,,32,118,166,21,45,5
Weapon Accuracy,,22,39,39,28,,45,27,28,25,29,10,33,68,47,29,38,34,33,,31,,27,51,48,29,,26,,30,33,35,36,24,35,48,41,59,35,51,48,30
Offensive Assists - Avg per 10 Min,,9.97,,,,4.33,,,,,,,,3.0,,3.05,3.66,,11.17,,14.65,,12.93,,,,3.47,4.66,8.41,,,8.12,,,,,,,,,3.01,13.48
Defensive Assists - Avg per 10 Min,,9.15,,,,24.82,,,,,,,,,,,10.98,,9.8,,16.97,9.72,,,,,,,,,3.05,,,,,,,,,,9.58,9.96
Scoped Critical Hits,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,,
Scoped Critical Hits - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
Dynamite Kills,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kill,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
